error_type	sentence	model prediction	generated sentences	generated sentences eval			count genereted senteces		count original
			I'm also fond of tennis. I've just begun my lessons and would like to continue practising during the summer.	divergent					
			I'm also fond of tennis, I've just begun my lessons and would like to continue practicing during the summer.	divergent					
			I'm also fond of tennis, I've just started my lesson and would like to continue practising during the summer.	divergent					
			I'm also fond of tennis, I've just started my lesson and would like to continue practicing during the summer.	divergent					
RV	People should have to take a license to drive those things .	wrong	People should have to take a license to drive those vehicles.	divergent					
			People should be able to take a license to drive those things.	divergent					
			People must take a license to drive those things.	divergent					
			People need to get a license to drive those things.	partially +					
			People ought to get a license to drive those things.	partially +					
RV	There would be many things to say about .	wrong	There would be many things to say about .	no modification					
			There are many things to say about .	divergent					
			There would be much to say about .	divergent					
			There would be many things to say on .	divergent					
			There would be many things to say regarding .	divergent					
RV	I have got very responsible work I had to bring food for Peter Bolen and Tomas Anders .	wrong	I have got very responsible work. I had to bring food for Peter Bolen and Tomas Anders.	divergent					
			I have got very responsible work. I had to bring food for Peter and Tomas.	divergent					
			I have got a very responsible job. I had to bring food for Peter Bolen and Tomas Anders.	divergent					
			I have got very responsible work. I had to bring food for Peter and Anders.	divergent					
			I have got very responsible work. I had to bring food for Peter, Bolen, and Anders.	divergent					
RV	I think this festival is a great idea because it 's a possibility to see and to love the art , but , I think also there are some things thas could be changed .	grammatical	I think this festival is a great idea because it's a possibility to see and love the art, but I also think there are some things that could be changed.	partially -					
			I think this festival is a great idea because it's a possibility to see and love the art but I think there are some things that could be changed.	divergent					
			I think this festival is a great idea because it's a possibility to see and love the art but I also think there are some things which could be changed.	partially -					
			I think this festival is a great idea because it's a possibility to see and love the art but I also think there are some things that might be changed.	divergent					
			I think this festival is a great idea because it's a possibility to see and love the art, but I think there are some things which could be changed.	divergent					
RV	Sometimes , they are happy to do shopping .	wrong	Sometimes they are happy to shop.	fully					
			Sometimes, they are happy to do shopping.	no modification					
			Sometimes, they are happy to go shopping.	fully					
			Sometimes they are happy doing shopping.	divergent					
			Sometimes, they are happy shopping.	divergent					
RV	Shopping is enjoyable when you want to offer some thing to someone .	grammatical	Shopping is enjoyable when you want to offer something to someone.	fully					
			Shopping is enjoyable when you want to offer things to someone.	divergent					
			Shopping is enjoyable when you want to offer some things to someone.	divergent					
			Shopping is enjoyable when you want to offer something.	divergent					
			Shopping is enjoyable when you want to offer things.	divergent					
RV	Hopping to hear from you	wrong	Hoping to hear from you	partially +					
			Hoping to hear from you soon	divergent					
			Hoping to hear from you later	divergent					
			Hoping to hear from you soon.	divergent					
			Hoping to hear from you later.	divergent					
RV	And many people are in a hurry , so do n't wonder if other people have not tolerance and patience to wait and hit you with their shopping cars .	wrong	And many people are in a hurry, so don't wonder if other people lack tolerance and patience to wait and hit you with their shopping cars.	divergent					
			And many people are in a hurry, so don't wonder if others lack tolerance and patience to wait and hit you with their shopping carts.	divergent					
			And many people are in a hurry, so don't wonder if other people have no tolerance and patience to wait and hit you with their shopping cars.	no modification					
			And many people are in a hurry, so don't wonder if other people lack the tolerance and patience to wait and be hit by their shopping cars.	divergent					
			And many people are in a hurry, so don't wonder if other people lack the tolerance and patience to wait and have their shopping cars hit them.	divergent					
RV	Finally , I suggest you should try as I did if you have any opportunity . You must like it .	grammatical	Finally, I suggest you try as I did if you have any opportunity. You must like it.	divergent					
			Finally, I suggest that you should try as I did if you have any opportunity. You must like it.	divergent					
			Finally, I suggest you should try as I did if you have any opportunity. You must like it.	fully					
			Finally, I suggest you should try as I did if you have any opportunity. You must like it.	fully					
			Finally, I suggest you try as I did if you have the opportunity. You must like it.	divergent					
RV	Unfortunately we realised that on the 14th we will already visit the Science Museum .	grammatical	Unfortunately we realised that on the 14th we will already visit the Science Museum.	fully					
			Unfortunately we realized that on the 14th we will have already visited the Science Museum.	fully					
			Unfortunately we realized that on the 14th we will already be visiting the Science Museum.	fully					
			Unfortunately we realized that we will already visit the Science Museum on the 14th.	divergent					
			Unfortunately we realize that on the 14th we will already visit the Science Museum.	divergent					
RV	All I ought to do is buy and choose .	grammatical	All I ought to do is buy and select.	divergent					
RV	So we can do shopping instead .	wrong	So we can do shopping instead.	no modification					
			So we can shop instead.	divergent					
RV	I would like to know only in July because I have set my holidays this month since last January .	grammatical	I would like to know only in July because I have set my holidays this month since January .	divergent					
			I would like to know only in July because I have set my holidays for this month since last January .	divergent					
			I would like to know only in July because I have set my holidays this month since January .	divergent					
			I would like to know only in July because I have already set my holidays this month since January .	divergent					
			I would like to know only in July because I have set my holidays this month since January .	divergent					
RV	"Additionally , you could n't believe , but the vocalist said """""""" All the chairs you are sitting down were set from him , """""""" pointing at me ! !"	plausible	"Additionally, you couldn't believe, but the vocalist said ""All the chairs you are sitting down were set by him,"" pointing at me!"	partially -					
			"Additionally, you couldn't believe, but the vocalist said ""All the chairs that you are sitting down were set from him,"" pointing at me!"	divergent					
			"Additionally, you couldn't believe, but the vocalist said ""All the chairs you are sitting down were set by him,"" pointing at me!"	partially -					
			"Additionally, you couldn't believe, but the vocalist said ""All the chairs you are sitting down were set from him,"" pointing at me!"	no modification					
RV	The computer for example makes communication much easier and faster then in past time , when everything was send by common mail , and it took weeks till it got the right place .	wrong	The computer, for example, makes communication much easier and faster than in past times. When everything was sent by common mail, it took weeks to get the right place.	divergent					
			The computer, for example, makes communication much easier and faster than in the past. Everything was sent by common mail in the past, and it took weeks to reach its destination.	divergent					
			The computer, for example, makes communication much easier and faster than in the past. When everything was send by common mail in the past, it took weeks to get there.	divergent					
			The computer, for example, makes communication much easier and faster than in the past. In the past, when everything was sent by common mail, it took weeks to reach its destination.	divergent					
			The computer, for example, makes communication much easier and faster than before. When everything was send by common mail, it took weeks to get there.	divergent					
RV	Choosing gave me such big pleasure because I never have to worry from vere do I take money for my wishes .	wrong	Choosing gave me such big pleasure because I never have to worry about where I take money for my wishes.	partially -					
			Choosing gave me such big pleasure because I never have to worry from where I get money for my wishes.	partially +					
			Choosing gave me such great pleasure because I never have to worry from where I take money for my wishes.	divergent					
			Choosing gave me such big pleasure because I never had to worry from where I take money for my wishes.	divergent					
			Choosing gave me such big pleasure because I never have to worry about where I get money for my wishes.	fully					
RV	Thanks to his habit , he is still alive and all money were backed to the bank .	wrong	Thanks to his habit, he is still alive and all the money were backed to the bank.	partially -					
			Thanks to his habit, he is still alive and all the money have been backed to the bank.	divergent					
			Thanks to his habit, he is still alive and all money was backed to the bank.	partially -					
			Thanks to his habit, he is still alive and all money has been backed to the bank.	divergent					
			Thanks to his habit, he is still alive and all money were back to the bank.	divergent					
RV	In the afternoon she had phoned at a Francis 's mother and she explained her the secret , then she phoned at her best friend and she speak about that too ; she phoned at many people all the day .	plausible	In the afternoon, she had phoned Francis's mother and she explained her the secret; then she phoned her best friend and spoke about that too; she phoned many people all day.	divergent					
			In the afternoon she had phoned at Francis's mother and she explained her the secret then she phoned at her best friend and she speak about that too she phoned at many people all the day	no modification					
			In the afternoon she had phoned at a Francis's mother and she explained her the secret then she phoned at her best friend and she speak about that too; she phoned at many people all the day.	no modification					
			In the afternoon she had phoned at a Francis's mother and she explained to her the secret then she phoned at her best friend and spoke about that too; she phoned at many people all the day.	partially +					
			In the afternoon she had phoned at a Francis's mother and she explained the secret to her then she phoned at her best friend and spoke about that too; she phoned at many people all the day.	fully					
RV	We thought , as usual we do in London theatre , we could have discounts as it 's written on your advertisement .	grammatical	We thought, as usual we do in London theatre, we could have discounts as it's written on your advertisement.	no modification					
			We thought, as usual we do at London theatre, we could have discounts as it's written on your advertisement.	divergent					
			We thought as usual we do in London theatre we could have discounts as it's written on your advertisement.	introducing error					
			We thought as usual we do in London theatre that we could have discounts as it's written on your advertisement.	introducing error					
			We thought as usual we do at London theatre that we could have discounts as it's written on your advertisement.	introducing error					
RV	Maria was nervous , but for the first time , she could talk to him as she never did before , and at the end of the day , she was the happiest person of the world , she gave her first kiss and she had Pat 's friendship back , after all , everything happened because of her .	wrong	Maria was nervous, but for the first time, she could talk to him as she never had before, and at the end of the day, she was the happiest person in the world. She gave her first kiss and got back Pat's friendship, after all; everything happened because of her.	partially +					
			Maria was nervous, but for the first time, she could talk to him as she never did before, and at the end of the day, she was the happiest person in the world. She gave her first kiss and got back Pat's friendship, after all; everything happened because of her.	partially -					
			Maria was nervous, but for the first time, she could talk to him as she never had before, and at the end of the day, she was the happiest person in the world. She gave her first kiss and had Pat's friendship back, after all; everything happened because of her.	partially +					
			Maria was nervous, but for the first time, she could talk to him as she never did before, and at the end of the day, she was the happiest person in the world. She gave her first kiss and got back Pat's friendship, after all. Everything happened because of her.	partially -					
			Maria was nervous, but for the first time, she could talk to him as she never had before, and at the end of the day, she was the happiest person in the world. She gave her first kiss and got back Pat's friendship, after all; everything happened due to her.	partially +					
RV	I would like you to back my money because that was not same as your advertisement .	wrong	I would like you to back my money because that was not the same as your advertisement.	partially -					
			I would like you to return my money because that was not the same as your advertisement.	fully					
			I would like you to back my money because what I received was not the same as your advertisement.	divergent					
			I would like you to refund my money because that was not the same as your advertisement.	divergent					
RV	A very good point of this change is that women have more freedom to have a job because before reaching the technology they have to stay at home doing housework but now we have laundries and a lot of machines like microwave oven .	grammatical	A very good point of this change is that women have more freedom to have a job because before reaching the technology they have to stay at home doing housework but now we have laundries and a lot of machines like microwave oven .	no modification					
			A very good point of this change is that women have more freedom to have a job because before they reached the technology they had to stay at home doing housework but now we have laundries and a lot of machines like microwave ovens.	partially -					
			A very good point of this change is that women have more freedom to have a job because before reaching the technology women had to stay at home doing housework but now we have laundries and a lot of machines like microwave ovens.	partially -					
			A very good point of this change is that women have more freedom to have a job because before they reached the technology women had to stay at home doing housework but now we have laundries and a lot of machines like microwave ovens.	partially -					
			A very good point of this change is that women have more freedom to have a job because before reaching the technology they had to stay at home doing housework but now we have laundries and many machines like microwave ovens.	partially -					
RV	If you have to run from one shop to another and always looking at the watch , doing shopping is a terrible activity .	wrong	If you have to run from one shop to another and always look at the watch, doing shopping is a terrible activity.	partially -					
			If you have to run from one shop to another and are always looking at the watch, doing shopping is a terrible activity.	divergent					
			If you have to run from one shop to another and always look at watches, doing shopping is a terrible activity.	divergent					
			If you have to run from one shop to another and always look at the watch when shopping, it is a terrible activity.	divergent					
			If you have to run from one shop to another and are always looking at the watch while doing shopping, it is a terrible activity.	divergent					
RV	I AM WRITING YOU WITH REFERENCE IN THE LONDON TRIP WE ARE HAVING PRERY SOON .	grammatical	I AM WRITING YOU WITH REFERENCE TO THE LONDON TRIP WE ARE HAVING PRETTY SOON .	fully					
			I AM WRITING YOU WITH REFERENCE TO THE LONDON TRIP WE ARE HAVING PREVIOUSLY SOON .	divergent					
			I AM WRITING YOU WITH REFERENCE TO THE LONDON TRIP WE ARE HAVING PRETTY SOON .	fully					
			I AM WRITING YOU WITH REFERENCE TO THE LONDON TRIP WE ARE HAVING PRIOR SOON .	divergent					
			I AM WRITING YOU WITH REFERENCE TO THE LONDON TRIP WE ARE HAVING BEFORE SOON .	divergent					
RV	I wish that you can provide a better service next time , and this time you need give back the money we paid .	grammatical	I wish that you can provide a better service next time, and this time you need to give back the money we paid.	fully					
			I wish that you could provide a better service next time, and this time you need to give back the money we paid.	divergent					
			I wish that you can provide a better service next time, and this time you need give the money back we paid.	divergent					
			I wish that you could provide a better service next time, and this time you need give the money back we paid.	divergent					
			I wish that you could provide a better service next time, and this time you need to give back the money we paid.	divergent					
RV	Accordiing to the advertisement you gave, there have been some important differents.	grammatical	According to the advertisement you gave, there have been some important differences.	fully					
RV	But when we talked to the doctor we felt more relaxed because he answered us that the operation was a very simple one.	grammatical	But when we talked to the doctor, we felt more relaxed because he answered us that the operation was a very simple one.	partially -					
			But when we talked to the doctor we felt more relaxed because he answered that the operation was a very simple one.	divergent					
			But when we talked to the doctor we felt more relaxed because he answered us that the operation was very simple.	divergent					
			But when we spoke to the doctor we felt more relaxed because he answered us that the operation was a very simple one.	divergent					
			But when we spoke to the doctor we felt more relaxed because he told us that the operation was a very simple one.	partially +					
RV	You can not lose the time because all the other shops could be closed when you arrive.	grammatical	You cannot lose time because all other shops could be closed when you arrive.	divergent					
			You can't lose the time because other shops might be closed when you arrive.	divergent					
			You cannot afford to lose time because all the other shops might be closed when you arrive.	divergent					
			You can not waste time because all other shops could be closed when you arrive.	partially +					
			You cannot lose time because other shops may be closed when you arrive.	divergent					
W	First of all , I would like to tell you that I 've never had a such good time in my life !	wrong	First of all, I would like to tell you that I've never had such a good time in my life!	fully	120		243		50
			First of all, I would like to tell you that I have never had such a good time in my life!	fully	14				
			First of all, I would like to tell you that I've never had so good a time in my life!	divergent	28				
			First of all, I would like to tell you that I've never had such good a time in my life!	fully	26				
			First of all, I would like to tell you that I've never had such a good time ever!	divergent	41				
W	Also , in Augost I will be studying a summer English course .	grammatical	Also, in August I will be studying a summer English course.	partially -	14				
			Also in August I will study a summer English course.	divergent					
			In August also I will be studying for a summer English course.	divergent					
			In August I will also be studying an English summer course.	divergent					
			Also in August I will study an English summer course.	divergent					
W	I think this festival is a great idea because it 's a possibility to see and to love the art , but , I think also there are some things thas could be changed .	grammatical	I think this festival is a great idea because it's a possibility to see and love the art, but I think also there are some things that could be changed.	partially -					
			I think this festival is a great idea because it's a possibility to see and love the art but I think also there are some things that could be changed	introducing error					
			I think this festival is a great idea because it's a possibility to see and love the art but I think there are some things that could be changed	introducing error					
			I think this festival is a great idea because it's a possibility to see and love the art, but I think there are some things that could be changed.	divergent					
			I think this festival is a great idea because it's a possibility to see and love the art, but I think also there are some things which could be changed.	divergent					
W	I am disappointed because of the horrible evening I have had , I was on holiday in London and I did not have time enough to spend there , but when you said that show was the best I decided to go .	wrong	I am disappointed because of the horrible evening I had, I was on holiday in London and did not have enough time to spend there, but when you said that show was the best I decided to go.	fully					
			I am disappointed with the horrible evening I had, I was on holiday in London and did not have enough time to spend there, but when you said that show was the best I decided to go.	partially +					
			I am disappointed because of the horrible evening I had, I was on holiday in London, did not have enough time to spend there, but when you said that show was the best I decided to go.	partially +					
			I am disappointed because of the horrible evening I had, I was on holiday in London and I did not have enough time to spend there, but when you said the show was the best I decided to go.	partially +					
			I am disappointed because of the horrible evening I had, I was on holiday in London and I did not have enough time to spend there, but when you said that the best show I decided to go.	divergent					
W	I also would like to claim some refund for the evening .	wrong	I also would like to claim a refund for the evening.	partially -					
			I would like to claim some refund for the evening.	divergent					
			I want to claim a refund for the evening.	divergent					
			I would like to get a refund for the evening.	divergent					
			I would like to claim some money back for the evening.	divergent					
W	Technical and Warm Home People 's way of life has considerably been changed by rapdily developing mordern technology .	grammatical	Technical and Warm Home People's way of life has considerably been changed by rapidly developing modern technology.	partially -					
			Technical and warm home people's way of life has considerably been changed by rapidly developing modern technology.	partially -					
			Technical and warm home people's ways of life have considerably been changed by rapidly developing modern technology.	divergent					
			Technical and warm home people's ways of life have been considerably changed by rapidly developing modern technology.	divergent					
			Technical and warm home people's ways of life have been changed considerably by rapidly developing modern technology.	partially +					
W	I wasted time too much for waiting .	wrong	I wasted too much time waiting 	partially +					
W	It 's great to visit especially the Science Museum because of its expositions .	grammatical	It's great to visit especially the Science Museum because of its exhibitions.	no modification					
			It's great to visit, especially the Science Museum, because of its expositions.	divergent					
			It's great to visit the Science Museum because of its expositions.	divergent					
			It's great to visit, especially for the Science Museum, because of its expositions.	divergent					
			It's great to visit, especially the Science Museum's exhibitions.	divergent					
W	After that , I would like to say Thanks , I never have won any price at all .	wrong	After that, I would like to say thanks. I have never won any prize at all.	fully					
			After that, I would like to say thank you. I have never won any prize at all.	partially +					
			After that, I would like to say Thanks. I never won any price at all.	divergent					
			After that, I would like to say thanks. I never won any prize at all.	divergent					
			After that, I would like to say thanks. I have never won any prize at all.	fully					
W	It is said that the singers are Danny Brook and Tina Truelove in the advertisement .	grammatical	It is said that the singers are Danny Brook and Tina Truelove in the commercial.	divergent					
			It is said that the singers in the advertisement are Danny Brook and Tina Truelove.	divergent					
			It is said that Danny Brook and Tina Truelove are the singers in the advertisement.	divergent					
			The singers in the advertisement are said to be Danny Brook and Tina Truelove.	partially +					
			It is said that the singers in the ad are Danny Brook and Tina Truelove.	divergent					
W	NOWADAYS , PEOPLE SEEM TO BE ALWAYS WORRIED .	grammatical	NOWAYS, PEOPLE SEEM TO BE ALWAYS WORRIED.	fully					
			TODAY, PEOPLE SEEM TO BE ALWAYS WORRIED.	divergent					
			NOWADAYS PEOPLE SEEM TO BE ALWAYS WORRIED.	divergent					
			NOWADAYS, PEOPLE SEEMS TO BE ALWAYS WORRIED.	introducing error					
			NOWADAYS, PEOPLE SEEM TO ALWAYS WORRIED.	introducing error					
W	First of all on Tuesday we all will go to the show and spend there all our day , but on Wednesday in the afternoon when we have free time we can go to the Science Museum if you do n't mind , of course .	wrong	First of all on Tuesday we all will go to the show and spend the whole day there, but on Wednesday in the afternoon when we have free time we can go to the Science Museum if you don't mind, of course.	partially -					
			First of all on Tuesday we all will go to the show and spend our whole day there, but on Wednesday in the afternoon when we have free time we can go to the Science Museum if you don't mind, of course.	partially -					
			First of all on Tuesday we all will go to the show and spend the whole day there, but on Wednesday at the afternoon when we have free time we can go to the Science Museum if you don't mind, of course.	partially -					
			First of all on Tuesday we all will go to the show and spend the whole day there, but on Wednesday in the afternoon when we have our free time we can go to the Science Museum if you don't mind, of course.	divergent					
			First of all on Tuesday we all will go to the show and spend the whole day there, but on Wednesday in the afternoon when we have free time we can go to the science museum if you don't mind, of course.	divergent					
W	We 'd like to thank you because the kind of happening shows how you are dedicated with our school and the students that study there .	wrong	We'd like to thank you because the kind of happening shows how you are dedicated to our school and the students who study there.	no modification					
			We'd like to thank you for the kind of happening that shows how you are dedicated to our school and the students who study there.	divergent					
			We'd like to thank you for the kind of happening shows your dedication to our school and the students studying there.	divergent					
			We'd like to thank you because the kind of happening shows your dedication to our school and the students studying there.	divergent					
			We'd like to thank you for the kind of happening that shows how dedicated you are to our school and the students who study there.	partially +					
W	Front my point of view , we are very interested in the latest fashions like the leisure , sports wear , make up , hairstyles , you know ... I strongly believe that we will be at the right time and best city to appreciate it .	wrong	Front my point of view, we are very interested in the latest fashions like leisure, sports wear, make up, hairstyles. You know...	divergent					
			I strongly believe that we will be at the right time and best city to appreciate it.	divergent					
			Front my point of view, we are very interested in the latest fashions such as leisure, sports wear, makeup, hair styles. You know...	divergent					
			I strongly believe that we will be at the right time and the best city to appreciate them.	divergent					
			Front my perspective, we are very interested in the latest fashion like leisure, sports wear, make up, hairstyles. You know...	divergent					
			I strongly believe that we will be at the right time and the best city to appreciate it.	divergent					
W	I am writting to thank you for your letter confirming the first prize that I won in your competition .	grammatical	I am writing to thank you for your letter confirming the first prize that I won in your competition.	partially -					
			I am writting to thank you for your letter confirming the first prize that I won in your competition.	no modification					
			I am writing to thank you for your letter confirming the first prize which I won in your competition.	divergent					
			I am writing to thank you for your letter confirming that I won the first prize in your competition.	fully					
			I am writing to thank you for your letter confirming the first prize I won in your competition.	divergent					
W	I 'm writing back to answer the questions that you send me in the past letter , so refering to the question of when I would like to travel , I would like to go anytime during july , because I have to be in august back home , because I need to apply and get everithing sortted out , to go into college next september .	plausible	I'm writing back to answer the questions that you sent me in the past letter, so referring to the question of when I would like to travel, I would like to go anytime during July, because I have to be back home in August, because I need to apply and get everything sorted out, to go to college next September.	fully					
			I'm writing back to answer the questions that you sent me in the past letter, so referring to the question of when I would like to travel, I would like to go anytime during July, because I have to be back home in August, because I need to apply and get everything sorted out, to go into college next September.	fully					
			I'm writing back to answer the questions that you sent me in the past letter, so referring to the question of when I would like to travel, I would like to go anytime during July, because I have to be back home in August, because I need to apply and get everything sorted out, to college next September.	fully					
			I'm writing back to answer the questions that you sent me in the past letter, so referring to the question of when I would like to travel, I would like to go anytime during July, because I have to be back home in August, because I need to apply and get everything sorted out, to go to college next September.	fully					
			I'm writing back to answer the questions that you sent me in the past letter, so referring to the question of when I would like to travel, I would like to go anytime during July, because I have to be back home in August, because I need to apply and get everything sorted out, to college next September.	fully					
W	It was a Friday suny afternoon , Scala was really excited to tell her the new .	plausible	It was a Friday sunny afternoon, Scala was really excited to tell her the new.	no modification					
			It was a Friday sunny afternoon, Scala was really excited to tell her about the new.	divergent					
			It was a Friday sunny afternoon, Scala was really excited to tell her the news.	partially -					
			It was a Friday sunny afternoon, Scala was really excited to share the new with her.	divergent					
			It was a Friday sunny afternoon, Scala was really excited to give her the new.	divergent					
W	For me was this aventure one of the Best .	wrong	For me, this was an aventure one of the best.	partially -					
			For me, this was a aventure one of the best.	partially -					
			For me, this was this aventure one of the best.	partially -					
			For me, this was the aventure one of the best.	partially -					
			For me, this was this aventure one of best.	partially -					
W	Particularly I am pleased to had know the most popular pop stars in the world .	grammatical	Particularly I am pleased to have known the most popular pop stars in the world.	partially -					
			Particularly I am pleased to have know the most popular pop stars in the world.	partially -					
			Particularly I am please to have known the most popular pop stars in the world.	partially -					
			Particularly I am pleased to had known the most popular pop stars in the world.	no modification					
			I am particularly pleased to have known the most popular pop stars in the world.	fully					
W	Othrewise , there are people who think the opposite ; such as : children , teenagers , men ; but not always , because they go to buy hardly ever , only when they need clothes or something for their job or school .	plausible	Otherwise, there are people who think the opposite; such as: children, teenagers, men; but not always because they go to buy hardly ever only when they need clothes or something for their job or school.	partially -					
			Othrewise, there are people who think the opposite such as children teenagers men but not always because they go to buy hardly ever only when they need clothes or something for their job or school.	partially -					
			Otherwise, there are people who think the opposite; such as: children, teenagers, men; but not always because they go to buy hardly ever only when they need clothes or something for their job or school.	partially -					
			Otherwise, there are people who think the opposite; such as children teenagers men; but not always because they go to buy hardly ever only when they need clothes or something for their job or school.	partially -					
			Otherwise, there are people who think the opposite; such as: children, teenagers, men but not always because they go to buy hardly ever only when they need clothes or something for their job or school.	partially -					
W	Just imagine the way of future people 's life .	grammatical	Just imagine the way of future people's life.	no modification					
			Just imagine the way future people's life.	divergent					
			Just imagine the way of future people life.	divergent					
			Just imagine the way future people life.	divergent					
			Just imagine the way of people's future life.	divergent					
W	I would like also to know how much money I can bring .	grammatical	I would also like to know how much money I can bring.	fully					
W	However my family 's members do less communicate with each other than we used to , because my children are keen on playing computer games .	wrong	However, my family's members do less communicate with each other than we used to because my children are keen on playing computer games.	no modification					
			However, my family members' communication has decreased compared to before because my children are keen on playing computer games.	divergent					
			However, my family members communicate less with each other than we used to because my children are keen on playing computer games.	fully					
			However, my family's members do not communicate as much with each other as we used to because my children are keen on playing computer games.	divergent					
			However, my family members communicate less frequently with each other than we used to because my children are keen on playing computer games.	divergent					
W	I paid for the show £ 50 I also have a recite to prove it .	grammatical	I paid for the show £50. I also have a receipt to prove it.	partially -					
			I paid £50 for the show. I also have a recite to prove it.	divergent					
			I paid £50 for the show. I also have a receipt to prove it.	fully					
			I paid for the show. I also have a receipt to prove it.	divergent					
			I paid for the show £50. I also have a receipt to prove it.	partially -					
W	I want if it is possible a log cabins like accommodation because I have been suffering from my back since my childhood , therefore I need a confortable accommodation .	grammatical	I want if it is possible cabin accommodation because I have been suffering from my back since my childhood therefore I need comfortable accommodation	introducing error					
			I want if it is possible log cabin accommodation because I have been suffering from my back since my childhood therefore I need comfortable accommodation	introducing error					
			I want if it is possible a log cabin like accommodation because I have been suffering from my back since my childhood therefore I need comfortable accommodation	introducing error					
			I want if it is possible a log cabin like accommodation because I have been suffering from my back since my childhood therefore I need a comfortable accommodation	introducing error					
			I want if it is possible log cabins like accommodation because I have been suffering from my back since my childhood therefore I need a comfortable accommodation	introducing error					
W	Could you do me my half of money back .	grammatical	Could you do me half of my money back.	partially +					
			Could you do me my half of the money back.	partially +					
			Could you do me a half of my money back.	divergent					
			Could you do me my share of money back.	divergent					
			Could you do me my half of the payment back.	divergent					
W	In my opinion shopping sometimes is really boring specially when you buy at the supermarkets almost all the time the same things like cleaning products and the ingredients for every day food .	grammatical	In my opinion, shopping sometimes is really boring. Especially when you buy at the supermarkets almost all the time, the same things, like cleaning products and the ingredients for everyday food.	divergent					
			In my opinion, shopping sometimes is really boring, specially when you buy at the supermarkets almost all the time the same things, like cleaning products and the ingredients for every day's food.	divergent					
			In my opinion, shopping sometimes is really boring. Especially when you buy at the supermarkets almost all the time, the same things, like cleaning products and the ingredients for everyday foods.	divergent					
			In my opinion, shopping sometimes is really boring. Especially when you buy at the supermarkets almost all the time, the same items, like cleaning products and the ingredients for every day food.	divergent					
			In my opinion, shopping sometimes is really boring. Especially when you shop at the supermarkets almost all the time, the same things, like cleaning products and the ingredients for everyday food.	divergent					
W	I am also used to write exams which are in polish schools very often .	wrong	I am also used to write exams which are in Polish schools very often.	partially -					
			I am used to writing exams which are in Polish schools very often.	partially -					
			I am used to write exams which are in Polish schools very frequently.	divergent					
			I am used to write exams that are in Polish schools very often.	partially -					
			I am used to write exams which are at Polish schools very often.	divergent					
W	I would like also to specify if the food is including in the prize .	grammatical	I would like to also specify if the food is included in the price .	divergent					
			I would like to specify if the food is included in the price .	divergent					
			I would like also to specify if the food is included in the price .	divergent					
			I would like to also specify if the food is included in the prize .	partially +					
			I would like to specify if the food is included in the prize .	divergent					
W	I would like also with the present to give you some information about me in order to arrange the details for the trip .	grammatical	I would like to also give you some information about me in order to arrange the details for the trip.	divergent					
			I would like with the present to give you some information about me in order to arrange the details for the trip.	divergent					
			I would like as well with the present to give you some information about me in order to arrange the details for the trip.	divergent					
			I would like also to give you some information about me in order to arrange the details for the trip.	divergent					
			I would like to give you some information about me in order to arrange the details for the trip.	divergent					
W	I am very happy to win this prize and I am going to give you some information from me that you need to make me have a good time at Camp California .	grammatical	I am very happy to win this prize and I am going to give you some information that you need to make me have a good time at Camp California.	divergent					
			I am very happy to win this prize. I am going to give you some information from me that you need to make sure I have a good time at Camp California.	divergent					
			I am very happy to win this prize and I am going to give you some necessary information from me that will help you make me have a good time at Camp California.	divergent					
			I am very happy to win this prize. I am going to give you some information from me that you need for me to have a good time at Camp California.	divergent					
			I am very happy to win this prize and I am going to give you some information from me that will help you make me have a good time at Camp California.	divergent					
W	Machines , such as a dish washer , laundry machine and remote controller help us jut to relax or do a little work necessary .	wrong	Machines, such as a dish washer, laundry machine, and remote controller, help us just to relax or do a little necessary work.	partially +					
			Machines, such as a dishwasher, laundry machine, and remote controller, help us just to relax or do a little necessary work.	partially +					
			Machines, such as a dishwasher, laundry machine, and remote controllers, help us just to relax or do a little necessary work.	partially +					
			Machines, such as a dish washer, laundry machine, and remote controllers, help us just to relax or do a little necessary work.	partially +					
			Machines, such as a dishwashers, laundry machines, and remote controller, help us just to relax or do a little necessary work.	partially +					
W	To sum up modern technology has change a lot our daily life and this is going to increase .	grammatical	To sum up, modern technology has changed a lot our daily life and this is going to increase.	no modification					
			To sum up, modern technology has changed a lot our daily lives and this is going to increase.	partially -					
			To sum up, modern technology has changed a lot our daily lives and this is going to be increased.	divergent					
			To sum up, modern technology has changed a lot our daily lives and this will increase.	divergent					
			To sum up, modern technology has changed a lot our lives and this is going to increase.	divergent					
W	When appeared the first car , it was already a great success .	wrong	When did the first car appear, it was already a great success.	partially +					
			When the first car appeared, it was already a great success.	fully					
			The first car appeared when it was already a great success.	divergent					
			When the first car appeared, already it was a great success.	partially +					
			When the first car appeared, it was already a great success.	fully					
W	Open some foreign language classes at part - time for the students who is interested in it .	wrong	Open some foreign language classes part-time for the students who are interested in it.	partially -					
			Open some foreign language classes at part-time for the students who is interested in it.	no modification					
			Open some foreign language classes at part time for the students who is interested in it.	divergent					
			Open some foreign language classes at part-time for the students who are interested in it.	partially -					
			Open some foreign language classes for the students who are interested in it part-time.	divergent					
W	For the men and women is important the appearance and they spent a lot of money in buy clothes , cosmetic , accesories , jewels etc .	grammatical	For the men and women it is important the appearance and they spent a lot of money buying clothes cosmetic accessories jewels etc	introducing error					
			For the men and women it is important their appearance and they spent a lot of money in buying clothes cosmetics accessories jewels etc	introducing error					
